Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16630516,"Seb (allegedly)","2026-08-07 11:38:45",3190.8,2,sebmallia
2,16663229,kakuteki,"2026-08-08 03:30:12",3153.5,2,kakuteki
3,16669403,mrgrishninsb,"2026-08-08 01:16:19",3150.8,2,mrgrishninsb
4,16672315,CemBas,"2026-08-08 05:30:03",3102.5,2,cembas
5,16665841,"Mohit Rao","2026-08-07 20:32:29",3092.9,2,vmohitrao
6,16660259,Marcus,"2026-08-08 03:09:35",3091.2,2,marcuseno
7,16667052,"Dandan Li","2026-08-08 02:07:53",3077.2,2,clcll532x
8,16671012,"Sean Zhang","2026-08-08 03:18:41",3043.4,2,seanzhang2445
9,16671174,Alexandre008,"2026-08-08 00:28:58",3037.0,2,alexandre008
10,16665596,chunhu666,"2026-08-08 05:36:17",3036.1,2,chunhu666
11,16669926,Jince,"2026-08-08 00:00:50",3032.5,2,jincesaju
12,16662492,"Lester Leong","2026-08-08 01:28:13",3031.4,2,lesterleong
13,16663668,"╰┈➤ˎˊ˗ www.sleepyai.org","2026-08-07 18:44:41",3029.9,2,tahsinarafat
14,16667124,"Chaotic Era","2026-08-08 01:16:39",3026.2,2,sani84
15,16685047,Yvonne.,"2026-08-08 05:40:05",3021.5,2,zdawer250
16,16661667,"Wufang Hong","2026-08-07 19:42:02",3019.6,2,wufanghong
17,16657494,Trex,"2026-08-08 01:11:34",3009.3,2,trexzone
18,16667479,"Leon Christians","2026-08-07 18:37:33",3006.7,2,leonchristians
19,16669191,"Mohammed Nomaan","2026-08-07 11:47:43",3002.6,2,nomaanz
20,16656807,Yoganjaneyulu,"2026-08-08 06:42:19",2998.3,2,yoganjaneyulu
21,16631752,"Junichiro Morita","2026-08-08 02:35:54",2996.6,2,junichiromorita
22,16651244,"Knight of Favonius","2026-08-07 19:15:29",2995.3,2,ladyfaye
23,16639565,yasu,"2026-08-07 20:22:53",2993.1,2,yasutakababa
24,16670276,"Egor Trushin","2026-08-07 17:07:18",2990.1,2,egortrushin
25,16683036,"Ritesh Thawkar","2026-08-07 13:28:50",2989.3,2,riteshthawkar
26,16655766,前衛,"2026-08-07 18:49:49",2988.6,2,"atharvranjan,shreyasgandhe,siddharth9077"
27,16663313,onlysmrtsumx,"2026-08-07 08:38:35",2980.8,2,onlysmrtsumx
28,16657290,lol-hiker,"2026-08-07 09:16:57",2979.4,2,lolhiker
29,16658287,ArturoSirvent,"2026-08-07 19:58:28",2979.0,2,arturosirvent
30,16682353,"counter puncher","2026-08-08 00:01:18",2978.5,2,ahmadabdoumalickdiop
31,16653262,"tianwen zhang1","2026-08-07 10:15:00",2974.3,2,tianwenzhang1
32,16685950,"Sasha Turutin","2026-08-07 16:53:10",2973.0,2,alturutin
33,16623152,"Ibad Ur Rahman","2026-08-07 21:15:56",2972.7,2,ibadia
34,16675671,"MMM Abbie","2026-08-08 04:16:13",2971.5,2,kchuang
35,16683199,"Filippo Gombac","2026-08-07 22:34:57",2971.1,2,filippogombac
36,16663928,Auxileon,"2026-08-08 04:06:20",2968.3,2,auxileon
37,16674744,"Burhan Ul Tayyab","2026-08-07 10:50:53",2966.3,2,babychick
38,16670433,"Mohammad Osamah Atif","2026-08-07 10:24:54",2965.0,2,osamatif
39,16681986,"Chirantan Bhardwaj","2026-08-07 10:07:52",2963.8,1,chirantanbhardwaj
40,16672202,HealthStone,"2026-08-08 06:14:19",2963.6,2,healthstone
41,16654585,"David Pedersen","2026-08-08 04:39:27",2963.6,2,semalytics
42,16631460,Kosuke.T,"2026-08-08 00:43:08",2962.4,2,kosuke1992
43,16674839,"hongqian miao","2026-08-08 04:19:03",2958.8,2,hongqianmiao
44,16679347,"Youssef EL MSIYAH","2026-08-07 14:52:49",2956.6,2,youssefelmsiyah
45,16670058,"Dahoui Alex Armel ","2026-08-07 01:02:07",2955.4,2,dahouialexarmel
46,16680065,Vishodhan,"2026-08-07 22:24:07",2949.6,2,vishodhan
47,16684045,zekenoe,"2026-08-07 13:20:21",2946.9,2,zekenos
48,16657100,"Jacky Chan","2026-08-07 19:05:30",2941.9,2,jhkchan
49,16664573,AdhithyaRokhith,"2026-08-08 06:41:14",2941.5,2,adhithyarokhith
50,16678534,"Filip Strzałka","2026-08-07 13:10:35",2938.9,2,snufkin77
51,16678930,"Just a moroccan","2026-08-06 20:53:13",2937.4,1,zbidaamine
52,16654742,"Aastik Rajan15","2026-08-07 02:20:08",2936.6,2,aastikrajan15
53,16629685,mikelou1,"2026-08-08 04:59:35",2921.8,2,mikelou1
54,16630441,"yjhv buddies","2026-08-07 09:50:05",2920.2,2,bender1123123
55,16632444,"Issac “Izreal” Davis","2026-08-08 01:06:18",2918.9,2,issacizrealdavis
56,16665125,"David Schindler15","2026-08-06 19:07:24",2917.8,2,"davidschindler15,mz3207"
57,16635314,"Aurora wy","2026-08-08 05:24:06",2912.5,2,aurorawy
58,16621355,Raiden.B,"2026-08-07 10:00:06",2907.7,2,raidenb
59,16658038,Khanh,"2026-08-08 03:38:10",2907.4,2,khanhp142
60,16669930,"Ilya Klimanov","2026-08-07 01:46:03",2907.2,2,ilyaklimanov
61,16659996,Schwifty,"2026-08-07 18:29:45",2906.9,2,schwiftyc137
62,16629624,"Sayandeep Ghosh","2026-08-07 21:55:17",2904.6,2,sayandeepghosh
63,16639800,"Yong Ming-Jia","2026-08-07 16:10:46",2901.2,2,ymingj
64,16649313,"Jiajun HAN","2026-08-06 22:23:06",2897.2,2,jiajun1
65,16657825,MilanJoshi,"2026-08-07 06:57:22",2895.8,2,mlnjsh
66,16659395,HyperX,"2026-08-07 21:40:42",2892.6,2,"diversedharun,harishinkaggle"
67,16634468,"Kun Zhang","2026-08-08 02:13:53",2891.6,2,beicicc
68,16682867,sneaky6767,"2026-08-08 00:15:54",2890.3,2,sneaky6767
69,16659123,sd,"2026-08-07 18:24:57",2889.2,2,siddharthadevkota
70,16668157,"vineet dairashri","2026-08-07 22:26:50",2888.9,2,vineetdairashri
71,16634143,"manual player","2026-08-08 03:35:44",2886.4,2,prospal
72,16655076,"Tita Kongolo","2026-08-07 05:43:17",2886.1,2,titakongolo
73,16663252,"MD Concepcion","2026-08-07 16:16:19",2883.8,2,mikedconcepcion
74,16657796,"parv goyal2","2026-08-07 14:20:03",2883.2,2,parvgoyal2
75,16633043,"Ryan Adams","2026-08-07 13:11:58",2878.7,2,ryanadamsai
76,16655789,"wen chong yu","2026-08-07 14:04:08",2874.2,2,wenchongyu
77,16655277,GUAM,"2026-08-08 00:27:37",2873.9,2,"jeongminlee92,kmmmvs"
78,16623559,DECEM,"2026-08-07 04:49:47",2873.6,2,zy1343930734
79,16670117,"Raj Aryan","2026-08-07 18:15:04",2867.4,2,rajaryan2503
80,16624645,MistaHobbist,"2026-08-07 06:08:31",2865.8,2,hobbisttech
81,16659081,"JALKARNA GAUTAM","2026-08-07 18:36:41",2857.8,2,jalkarnagautam
82,16635781,wacata,"2026-08-07 07:25:14",2855.4,2,wacata
83,16654783,quantara.cv,"2026-08-07 09:59:32",2853.9,2,goth55
84,16673002,xubenzheng,"2026-08-07 15:40:31",2853.5,2,xubenzheng
85,16671403,"Alex Karpowicz","2026-08-08 01:11:27",2852.0,2,alexkarpowicz
86,16660121,22307110257-张扬,"2026-08-07 06:08:13",2849.5,2,meredith10pi
87,16672371,Loren-wen,"2026-08-07 01:41:41",2847.8,2,wofusituerte
